Região,Município,CV_BCG,CV_HEPatite_B,CV_HIB,CV_DPT,CV_Polio,CV_rota,CV_Pneumo,CV_MNCC,CV_SCR1,CV_SCR2,CV_VARICELA,CV_HEPATITE_A
Região Nordeste,220540 Joaquim Pires,8.00,105.50,105.50,105.50,99.00,77.00,79.00,85.00,95.45,54.55,80.30,67.68
Região Nordeste,220545 Joca Marques,22.22,80.56,80.56,80.56,69.44,69.44,73.61,81.94,47.89,50.70,33.80,5.63
Região Nordeste,220550 José de Freitas,33.87,58.55,58.55,58.55,67.90,69.35,70.32,77.26,75.61,55.65,70.87,68.90
Região Nordeste,220551 Juazeiro do Piauí,1.92,15.38,15.38,15.38,7.69,3.85,13.46,11.54,25.49,5.88,23.53,13.73
Região Nordeste,220552 Júlio Borges,6.33,63.29,63.29,63.29,63.29,58.23,69.62,68.35,67.95,0.00,75.64,75.64
Região Nordeste,220553 Jurema,0.00,104.48,104.48,104.48,107.46,61.19,88.06,89.55,116.67,51.52,89.39,95.45
Região Nordeste,220554 Lagoinha do Piauí,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Região Nordeste,220555 Lagoa Alegre,24.21,103.16,103.16,103.16,103.16,98.95,103.16,91.58,93.48,79.35,91.30,93.48
Região Nordeste,220556 Lagoa do Barro do Piauí,77.63,107.89,107.89,107.89,109.21,105.26,100.00,109.21,128.77,102.74,98.63,102.74
Região Nordeste,220557 Lagoa de São Francisco,72.88,115.25,115.25,115.25,122.03,101.69,106.78,105.08,111.86,52.54,89.83,106.78
Região Nordeste,220558 Lagoa do Piauí,32.39,97.18,97.18,97.18,98.59,100.00,102.82,102.82,97.18,0.00,81.69,83.10
Região Nordeste,220559 Lagoa do Sítio,35.42,72.92,72.92,72.92,81.25,75.00,83.33,91.67,100.00,81.25,79.17,89.58
Região Nordeste,220560 Landri Sales,12.82,107.69,107.69,107.69,100.00,102.56,102.56,96.15,117.11,94.74,101.32,97.37
Região Nordeste,220570 Luís Correia,1.76,61.98,61.54,62.42,61.54,53.85,69.01,60.88,68.30,51.34,72.54,68.30
Região Nordeste,220580 Luzilândia,77.59,67.53,67.53,67.53,58.62,64.66,64.94,59.20,62.79,37.50,45.64,47.09
Região Nordeste,220585 Madeiro,32.67,98.02,98.02,98.02,87.13,85.15,85.15,84.16,96.94,79.59,96.94,91.84
Região Nordeste,220590 Manoel Emídio,45.45,100.00,100.00,100.00,96.97,96.97,92.42,87.88,64.62,41.54,72.31,80.00
Região Nordeste,220595 Marcolândia,37.31,77.61,77.61,77.61,79.10,65.67,68.66,71.64,115.15,70.45,82.58,75.00
Região Nordeste,220600 Marcos Parente,9.38,62.50,62.50,62.50,60.94,48.44,60.94,60.94,73.02,66.67,66.67,73.02
Região Nordeste,220605 Massapê do Piauí,24.53,84.91,84.91,84.91,81.13,69.81,90.57,73.58,61.54,71.15,50.00,75.00
Região Nordeste,220610 Matias Olímpio,14.29,106.21,106.21,106.21,96.89,90.68,95.03,93.79,102.50,40.00,133.13,94.38
Região Nordeste,220620 Miguel Alves,0.00,56.85,56.85,57.05,48.76,47.51,61.20,50.62,58.58,35.36,50.63,51.46
Região Nordeste,220630 Miguel Leão,0.00,13.33,13.33,13.33,13.33,33.33,66.67,20.00,40.00,6.67,40.00,80.00
Região Nordeste,220635 Milton Brandão,6.49,66.23,66.23,66.23,64.94,64.94,59.74,59.74,68.92,40.54,48.65,37.84
Região Nordeste,220640 Monsenhor Gil,10.96,85.62,85.62,85.62,80.14,78.77,77.40,91.10,94.48,59.31,71.03,80.69
Região Nordeste,220650 Monsenhor Hipólito,12.77,110.64,110.64,111.70,108.51,104.26,102.13,98.94,114.61,76.40,87.64,100.00
Região Nordeste,220660 Monte Alegre do Piauí,32.37,69.36,69.36,69.36,69.94,73.41,78.61,73.99,74.42,54.65,63.37,66.86
Região Nordeste,220665 Morro Cabeça no Tempo,45.31,93.75,93.75,93.75,92.19,71.88,75.00,90.63,76.19,46.03,103.17,63.49
Região Nordeste,220667 Morro do Chapéu do Piauí,36.84,105.26,105.26,105.26,101.05,101.05,103.16,103.16,95.74,81.91,95.74,89.36
Região Nordeste,220669 Murici dos Portelas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Região Nordeste,220670 Nazaré do Piauí,10.47,96.51,96.51,96.51,84.88,101.16,100.00,102.33,95.29,94.12,96.47,105.88
Região Nordeste,220672 Nazária,0.00,72.26,72.26,72.99,67.88,72.26,74.45,74.45,78.95,65.41,104.51,75.94
Região Nordeste,220675 Nossa Senhora de Nazaré,27.12,66.10,66.10,66.10,64.41,83.05,79.66,86.44,113.56,66.10,86.44,93.22
Região Nordeste,220680 Nossa Senhora dos Remédios,28.57,86.43,86.43,86.43,75.00,77.14,79.29,73.57,75.18,75.18,74.45,75.91
Região Nordeste,220690 Novo Oriente do Piauí,19.64,76.79,76.79,76.79,78.57,92.86,92.86,76.79,112.96,101.85,170.37,111.11
Região Nordeste,220695 Novo Santo Antônio,44.83,151.72,151.72,151.72,148.28,137.93,151.72,155.17,120.69,144.83,144.83,151.72
Região Nordeste,220700 Oeiras,88.02,93.01,93.01,93.41,93.01,89.62,89.42,88.02,97.38,74.45,96.18,88.93
Região Nordeste,220710 Olho D'Água do Piauí,33.33,66.67,66.67,66.67,71.79,58.97,69.23,56.41,61.54,74.36,53.85,69.23
Região Nordeste,220720 Padre Marcos,23.29,101.37,101.37,101.37,101.37,95.89,100.00,94.52,102.82,50.70,132.39,90.14
Região Nordeste,220730 Paes Landim,61.76,102.94,102.94,102.94,101.47,88.24,83.82,89.71,86.57,59.70,80.60,83.58
Região Nordeste,220735 Pajeú do Piauí,0.00,69.23,69.23,69.23,61.54,65.38,69.23,73.08,84.00,16.00,104.00,88.00
Região Nordeste,220740 Palmeira do Piauí,1.41,61.97,61.97,61.97,63.38,52.11,53.52,56.34,72.86,32.86,58.57,57.14
Região Nordeste,220750 Palmeirais,4.76,26.19,25.60,25.60,23.81,14.88,26.79,29.17,31.29,7.98,15.34,14.72
Região Nordeste,220755 Paquetá,0.00,56.10,56.10,56.10,56.10,51.22,48.78,51.22,78.05,48.78,131.71,75.61
Região Nordeste,220760 Parnaguá,59.21,96.05,96.05,96.05,92.11,93.42,97.37,95.39,121.48,46.31,76.51,72.48
Região Nordeste,220770 Parnaíba,54.70,44.82,44.74,44.74,39.84,35.77,43.99,34.55,42.23,20.82,35.95,29.86
Região Nordeste,220775 Passagem Franca do Piauí,31.25,110.42,110.42,110.42,102.08,87.50,83.33,66.67,81.25,31.25,52.08,60.42
Região Nordeste,220777 Patos do Piauí,15.00,65.00,65.00,65.00,61.67,56.67,66.67,63.33,81.36,13.56,40.68,45.76
Região Nordeste,220779 Pau D'Arco do Piauí,0.00,146.94,146.94,146.94,140.82,124.49,128.57,148.98,135.42,83.33,108.33,122.92
Região Nordeste,220780 Paulistana,82.95,78.03,78.03,78.03,80.98,73.11,83.93,75.74,78.41,59.80,90.03,76.08
Região Nordeste,220785 Pavussu,0.00,47.22,47.22,47.22,41.67,63.89,63.89,47.22,71.43,42.86,82.86,74.29
Região Nordeste,220790 Pedro II,48.34,80.31,80.31,80.31,75.63,77.00,76.22,74.46,80.31,55.91,102.17,75.79
Região Nordeste,220793 Pedro Laurentino,70.97,112.90,112.90,112.90,106.45,80.65,93.55,109.68,93.55,58.06,109.68,80.65
Região Nordeste,220795 Nova Santa Rita,90.91,134.09,134.09,134.09,131.82,115.91,125.00,129.55,130.23,104.65,120.93,118.60
Região Nordeste,220800 Picos,263.16,83.92,83.92,84.21,83.14,78.27,87.23,81.58,88.75,50.35,77.20,71.47
Região Nordeste,220810 Pimenteiras,30.25,87.39,87.39,87.39,83.19,79.83,84.87,93.28,73.73,61.86,64.41,74.58
Região Nordeste,220820 Pio IX,33.04,91.63,91.63,92.07,89.43,83.70,84.58,84.14,85.78,57.78,87.56,72.44
Região Nordeste,220830 Piracuruca,96.15,87.09,87.09,87.36,85.99,82.42,86.54,77.20,93.35,80.06,96.12,82.55
Região Nordeste,220840 Piripiri,96.30,88.12,88.23,88.23,79.37,74.22,79.37,83.63,85.12,53.33,69.45,69.67
Região Nordeste,220850 Porto,54.33,100.48,100.48,100.96,86.06,93.75,91.35,88.94,82.04,59.22,90.78,86.89
Região Nordeste,220855 Porto Alegre do Piauí,2.50,72.50,72.50,72.50,75.00,57.50,67.50,67.50,70.00,57.50,67.50,85.00
Região Nordeste,220860 Prata do Piauí,10.00,68.00,68.00,68.00,68.00,48.00,44.00,54.00,110.42,81.25,166.67,104.17
Região Nordeste,220865 Queimada Nova,65.69,112.75,112.75,112.75,105.88,104.90,107.84,110.78,119.19,79.80,92.93,91.92
Região Nordeste,220870 Redenção do Gurguéia,0.81,95.16,95.16,95.16,93.55,90.32,83.06,91.13,76.42,67.48,95.12,85.37
Região Nordeste,220880 Regeneração,47.97,71.54,71.54,71.54,68.70,58.54,71.14,63.41,76.23,35.66,62.30,56.56
Região Nordeste,220885 Riacho Frio,0.00,33.93,33.93,33.93,35.71,30.36,32.14,33.93,39.29,17.86,50.00,14.29
Região Nordeste,220887 Ribeira do Piauí,44.68,80.85,80.85,82.98,78.72,63.83,89.36,76.60,73.33,20.00,75.56,64.44
Região Nordeste,220890 Ribeiro Gonçalves,65.52,74.71,74.71,74.71,78.16,78.16,82.76,77.01,72.41,60.92,70.11,58.62
Região Nordeste,220900 Rio Grande do Piauí,45.31,76.56,76.56,76.56,73.44,68.75,84.38,84.38,68.75,43.75,81.25,64.06
Região Nordeste,220910 Santa Cruz do Piauí,1.43,90.00,90.00,90.00,87.14,78.57,82.86,75.71,94.29,98.57,102.86,100.00
Região Nordeste,220915 Santa Cruz dos Milagres,38.71,93.55,93.55,93.55,93.55,80.65,80.65,87.10,116.13,80.65,122.58,116.13
Região Nordeste,220920 Santa Filomena,68.37,63.27,63.27,63.27,50.00,54.08,74.49,75.51,92.78,39.18,63.92,63.92
Região Nordeste,220930 Santa Luz,4.35,110.14,110.14,110.14,110.14,100.00,102.90,107.25,91.18,1.47,97.06,95.59
Região Nordeste,220935 Santana do Piauí,0.00,94.59,94.59,94.59,89.19,110.81,116.22,108.11,67.57,51.35,56.76,56.76
Região Nordeste,220937 Santa Rosa do Piauí,6.25,78.13,78.13,78.13,78.13,60.94,59.38,64.06,79.69,48.44,76.56,73.44
Região Nordeste,220940 Santo Antônio de Lisboa,10.29,102.94,102.94,102.94,98.53,102.94,101.47,104.41,95.52,86.57,89.55,97.01
Região Nordeste,220945 Santo Antônio dos Milagres,24.14,72.41,68.97,68.97,72.41,55.17,51.72,51.72,103.57,46.43,67.86,60.71
Região Nordeste,220950 Santo Inácio do Piauí,31.25,66.67,66.67,66.67,68.75,68.75,68.75,56.25,60.42,50.00,43.75,54.17
Região Nordeste,220955 São Braz do Piauí,0.00,73.17,73.17,73.17,75.61,95.12,112.20,87.80,85.00,55.00,70.00,75.00
Região Nordeste,220960 São Félix do Piauí,18.18,145.45,145.45,145.45,145.45,163.64,168.18,136.36,127.27,118.18,122.73,113.64
Região Nordeste,220965 São Francisco de Assis do Piauí,57.53,83.56,83.56,83.56,84.93,87.67,87.67,90.41,121.92,63.01,79.45,98.63
Região Nordeste,220970 São Francisco do Piauí,1.64,81.97,81.97,81.97,80.33,80.33,81.97,80.33,80.00,65.00,110.00,83.33
Região Nordeste,220975 São Gonçalo do Gurguéia,0.00,80.00,80.00,80.00,70.00,115.00,100.00,82.50,90.00,77.50,75.00,77.50
Região Nordeste,220980 São Gonçalo do Piauí,7.94,19.05,19.05,19.05,19.05,19.05,19.05,20.63,120.97,16.13,87.10,70.97
Região Nordeste,220985 São João da Canabrava,02.08,45.83,45.83,45.83,47.92,54.17,60.42,62.50,75.00,33.33,56.25,18.75
Região Nordeste,220987 São João da Fronteira,25.00,59.72,59.72,59.72,56.94,61.11,72.22,72.22,71.83,19.72,66.20,53.52
Região Nordeste,220990 São João da Serra,12.50,109.38,109.38,109.38,112.50,109.38,107.81,106.25,106.35,87.30,98.41,95.24
Região Nordeste,220995 São João da Varjota,0.00,130.61,130.61,130.61,130.61,126.53,132.65,122.45,93.48,73.91,71.74,71.74
Região Nordeste,220997 São João do Arraial,36.49,108.11,108.11,108.11,102.03,92.57,96.62,94.59,98.61,75.00,90.97,90.97
Região Nordeste,221000 São João do Piauí,2.43,86.93,86.93,86.93,88.45,71.73,84.80,75.38,87.00,81.11,91.64,81.42
Região Nordeste,221005 São José do Divino,0.00,112.73,112.73,112.73,110.91,121.82,127.27,120.00,107.27,109.09,220.00,105.45
Região Nordeste,221010 São José do Peixe,14.71,58.82,58.82,58.82,55.88,67.65,85.29,64.71,68.75,9.38,50.00,31.25
Região Nordeste,221020 São José do Piauí,25.27,98.90,98.90,98.90,93.41,84.62,87.91,89.01,85.71,71.43,83.52,80.22
Região Nordeste,221030 São Julião,19.74,55.26,55.26,55.26,55.26,75.00,77.63,65.79,88.16,67.11,69.74,82.89
Região Nordeste,221035 São Lourenço do Piauí,5.00,97.50,97.50,97.50,97.50,100.00,97.50,107.50,70.00,70.00,87.50,85.00
Região Nordeste,221037 São Luis do Piauí,4.00,104.00,104.00,104.00,96.00,76.00,68.00,64.00,104.17,58.33,91.67,95.83
Região Nordeste,221038 São Miguel da Baixa Grande,14.29,61.90,61.90,61.90,61.90,71.43,66.67,100.00,80.95,57.14,52.38,57.14
Região Nordeste,221039 São Miguel do Fidalgo,42.50,62.50,62.50,62.50,65.00,80.00,80.00,80.00,65.00,72.50,77.50,82.50
Região Nordeste,221040 São Miguel do Tapuio,21.21,75.76,75.76,75.76,71.86,62.34,64.50,69.70,94.71,43.61,66.08,63.44
Região Nordeste,221050 São Pedro do Piauí,28.88,87.17,87.17,87.17,78.07,82.35,88.24,87.70,97.31,42.47,73.66,73.66
Região Nordeste,221060 São Raimundo Nonato,263.94,89.52,89.52,89.52,84.72,84.37,88.28,87.92,94.22,74.01,92.96,88.09
Região Nordeste,221062 Sebastião Barros,0.00,3.51,3.51,3.51,1.75,1.75,3.51,3.51,14.04,3.51,12.28,0.00
Região Nordeste,221063 Sebastião Leal,31.25,100.00,100.00,100.00,102.08,97.92,100.00,83.33,91.67,85.42,118.75,85.42
Região Nordeste,221065 Sigefredo Pacheco,0.00,3.75,3.75,3.75,3.75,6.25,3.75,3.75,2.50,5.00,8.75,10.00
Região Nordeste,221070 Simões,45.69,94.42,94.42,94.42,90.36,89.34,90.86,92.89,116.41,43.59,95.90,83.08
Região Nordeste,221080 Simplício Mendes,68.53,60.84,60.84,60.84,62.94,62.94,67.13,81.82,64.49,64.49,70.29,73.91
Região Nordeste,221090 Socorro do Piauí,70.27,118.92,118.92,118.92,102.70,118.92,129.73,116.22,108.11,91.89,97.30,97.30
Região Nordeste,221093 Sussuapara,0.00,87.95,87.95,87.95,89.16,95.18,98.80,89.16,86.42,76.54,83.95,80.25
Região Nordeste,221095 Tamboril do Piauí,0.00,78.72,78.72,78.72,76.60,63.83,65.96,82.98,78.26,10.87,76.09,78.26
Região Nordeste,221097 Tanque do Piauí,0.00,81.48,81.48,81.48,81.48,137.04,129.63,107.41,103.70,92.59,111.11,96.30
Região Nordeste,221100 Teresina,124.68,76.19,76.13,76.13,73.05,73.35,76.76,73.69,73.68,42.81,70.35,72.29
Região Nordeste,221110 União,25.04,61.31,61.14,61.49,59.41,54.75,60.79,61.14,58.93,22.01,51.82,56.50
Região Nordeste,221120 Uruçuí,61.99,83.26,83.26,83.26,83.71,78.51,87.10,81.90,80.73,50.69,69.04,67.20
Região Nordeste,221130 Valença do Piauí,125.19,83.33,84.44,83.70,83.70,85.56,88.89,84.07,83.40,82.26,87.17,88.30
Região Nordeste,221135 Várzea Branca,16.47,94.12,94.12,94.12,92.94,85.88,96.47,82.35,76.19,7.14,50.00,73.81
Região Nordeste,221140 Várzea Grande,14.29,51.43,51.43,51.43,48.57,74.29,82.86,62.86,87.88,09.09,87.88,100.00
Região Nordeste,221150 Vera Mendes,9.76,70.73,70.73,70.73,70.73,70.73,78.05,85.37,84.62,0.00,69.23,71.79
Região Nordeste,221160 Vila Nova do Piauí,73.68,84.21,84.21,84.21,84.21,110.53,110.53,94.74,105.26,89.47,94.74,89.47
Região Nordeste,221170 Wall Ferraz,7.14,61.90,61.90,61.90,61.90,69.05,71.43,42.86,83.33,61.90,61.90,61.90
Região Nordeste,230010 Abaiara,8.61,68.21,68.21,68.21,68.87,54.30,58.28,52.98,65.54,3.38,40.54,45.95
Região Nordeste,230015 Acarape,5.88,32.62,32.62,32.62,29.95,29.95,31.02,22.46,25.81,28.49,29.03,26.34
Região Nordeste,230020 Acaraú,92.60,86.59,86.59,86.69,82.84,78.50,81.46,80.47,91.17,47.92,77.38,71.13
Região Nordeste,230030 Acopiara,26.06,79.27,79.27,79.63,74.68,80.18,84.77,78.90,88.95,58.80,71.35,75.66
Região Nordeste,230040 Aiuaba,81.41,83.92,83.92,83.92,83.92,80.90,79.90,75.88,93.37,85.71,91.84,89.80
Região Nordeste,230050 Alcântaras,5.70,96.20,96.20,96.20,84.81,91.77,95.57,91.14,93.04,74.05,112.66,91.14
Região Nordeste,230060 Altaneira,0.00,88.68,88.68,88.68,87.74,89.62,94.34,95.28,79.05,14.29,83.81,70.48
Região Nordeste,230070 Alto Santo,23.64,100.61,100.61,100.61,94.55,82.42,85.45,88.48,80.37,46.01,84.05,69.33
Região Nordeste,230075 Amontada,21.80,95.64,95.64,95.64,93.17,96.95,103.49,94.91,100.44,73.61,77.86,92.38
Região Nordeste,230080 Antonina do Norte,0.00,84.44,84.44,84.44,85.56,81.11,81.11,77.78,92.13,67.42,132.58,84.27
Região Nordeste,230090 Apuiarés,38.56,109.15,109.15,109.15,100.00,100.65,109.80,104.58,97.39,61.44,71.90,88.24
Região Nordeste,230100 Aquiraz,38.08,67.62,67.62,67.79,62.72,63.26,66.55,62.99,63.45,48.38,55.42,64.80
Região Nordeste,230110 Aracati,126.01,62.49,62.49,62.49,60.62,62.69,66.22,61.55,67.78,44.87,52.93,59.31
Região Nordeste,230120 Aracoiaba,2.90,47.54,47.54,47.54,44.64,37.68,41.16,44.06,47.37,30.12,46.20,47.08
Região Nordeste,230125 Ararendá,72.54,99.30,99.30,99.30,92.96,90.85,93.66,88.73,103.55,104.26,131.91,107.80
Região Nordeste,230130 Araripe,62.76,99.40,99.40,99.40,99.40,89.19,90.39,88.89,95.44,52.89,88.45,85.41
Região Nordeste,230140 Aratuba,06.08,79.73,79.73,79.73,79.73,66.89,71.62,73.65,102.05,54.11,73.29,88.36
Região Nordeste,230150 Arneiroz,97.83,97.83,97.83,97.83,95.65,107.61,106.52,92.39,121.35,83.15,103.37,111.24
Região Nordeste,230160 Assaré,35.42,78.60,78.60,78.60,81.18,84.87,91.51,76.75,74.25,42.16,73.88,62.69
Região Nordeste,230170 Aurora,54.71,67.78,67.78,67.78,60.79,62.31,60.79,60.49,69.33,35.28,54.60,61.66
Região Nordeste,230180 Baixio,19.67,65.57,65.57,65.57,65.57,68.85,73.77,65.57,59.02,39.34,57.38,70.49
Região Nordeste,230185 Banabuiú,8.13,71.54,71.54,71.95,71.54,76.42,76.83,71.54,81.56,72.13,109.84,87.30
Região Nordeste,230190 Barbalha,206.10,72.93,73.00,73.00,71.99,68.39,74.26,72.07,72.44,45.91,60.31,66.77
Região Nordeste,230195 Barreira,19.1,64.04,64.04,64.04,59.83,57.30,62.92,60.67,82.71,36.31,56.20,45.82
Região Nordeste,230200 Barro,26.94,85.84,85.84,85.84,85.84,79.00,78.54,85.39,60.65,43.98,53.24,55.56
Região Nordeste,230205 Barroquinha,9.80,53.43,53.43,53.43,70.10,52.45,57.84,64.71,64.53,46.31,90.15,56.16
Região Nordeste,230210 Baturité,201.64,45.70,45.70,45.70,42.62,48.57,50.41,45.90,88.13,20.63,52.50,50.63
Região Nordeste,230220 Beberibe,20.55,105.35,105.18,105.18,103.28,101.90,105.35,105.53,109.67,93.67,102.28,100.70
Região Nordeste,230230 Bela Cruz,113.99,105.70,105.70,105.70,105.44,105.44,105.70,105.18,107.96,107.69,105.04,104.51
Região Nordeste,230240 Boa Viagem,89.47,88.85,88.85,89.32,86.38,89.63,95.82,92.26,85.60,59.62,73.55,74.80
Região Nordeste,230250 Brejo Santo,79.92,89.64,89.51,89.51,86.57,77.11,78.52,79.54,89.41,67.96,87.98,84.50
Região Nordeste,230260 Camocim,133.47,63.26,63.26,63.37,61.58,63.58,63.47,60.21,63.22,35.93,44.14,50.43
Região Nordeste,230270 Campos Sales,65.45,83.94,83.94,83.94,83.03,79.09,80.91,80.91,79.88,66.87,100.00,82.97
Região Nordeste,230280 Canindé,18.50,57.14,57.05,57.05,55.03,58.68,60.69,61.36,66.21,37.18,46.80,49.81
Região Nordeste,230290 Capistrano,37.75,111.65,111.65,112.05,102.81,103.61,106.83,101.61,118.29,102.44,131.71,107.32
Região Nordeste,230300 Caridade,40.09,53.30,53.30,53.30,54.72,51.89,58.02,54.72,61.54,30.29,56.25,64.90
Região Nordeste,230310 Cariré,25.98,88.98,88.98,88.98,87.40,87.80,91.34,91.34,86.51,65.08,82.94,92.46
Região Nordeste,230320 Caririaçu,0.00,84.34,84.34,84.34,81.31,81.57,82.32,79.80,88.32,43.40,87.06,82.74
Região Nordeste,230330 Cariús,31.36,95.86,95.86,95.86,92.31,91.12,94.67,92.31,92.77,80.12,85.54,88.55
Região Nordeste,230340 Carnaubal,108.89,119.11,119.11,119.11,121.33,124.44,124.44,127.11,117.94,117.04,121.52,114.80
Região Nordeste,230350 Cascavel,60.81,76.09,75.99,76.09,70.34,71.23,73.71,76.19,86.97,63.88,73.43,81.59
Região Nordeste,230360 Catarina,13.33,80.74,80.74,80.74,80.74,77.78,78.52,80.00,86.57,50.75,94.78,83.58
Região Nordeste,230365 Catunda,17.31,52.88,52.88,52.88,50.96,54.81,50.96,52.88,70.87,48.54,79.61,67.96
Região Nordeste,230370 Caucaia,58.67,75.29,75.21,75.41,73.65,70.14,73.40,69.61,64.97,41.99,53.20,58.86
Região Nordeste,230380 Cedro,100.37,113.70,113.33,114.81,109.26,112.22,112.59,113.70,108.99,58.80,82.77,74.53
Região Nordeste,230390 Chaval,3.61,77.71,77.71,77.71,80.72,66.87,73.49,72.29,64.85,48.48,64.85,69.70
Região Nordeste,230393 Choró,9.93,109.93,109.93,109.93,110.64,100.71,97.87,95.04,106.47,97.12,104.32,106.47
Região Nordeste,230395 Chorozinho,38.89,95.19,95.19,95.19,93.70,96.67,97.41,95.56,97.38,71.54,74.53,86.89
Região Nordeste,230400 Coreaú,12.31,63.69,63.69,63.69,62.46,60.00,61.85,61.23,73.77,44.14,70.99,68.21
Região Nordeste,230410 Crateús,245.87,71.05,71.05,71.05,69.11,69.01,70.85,68.91,83.57,55.68,71.59,71.90
Região Nordeste,230420 Crato,127.08,57.54,57.59,57.83,59.88,63.30,66.49,63.59,57.60,38.32,50.63,53.03
Região Nordeste,230423 Croatá,65.63,87.50,87.50,87.50,92.58,85.16,89.84,87.89,115.94,83.27,102.79,100.40
Região Nordeste,230425 Cruz,107.27,110.00,110.00,110.00,107.73,102.50,107.73,108.86,109.17,108.94,111.47,108.26
Região Nordeste,230426 Deputado Irapuan Pinheiro,27.27,93.51,93.51,93.51,93.51,93.51,97.40,105.19,115.58,110.39,111.69,114.29
Região Nordeste,230427 Ererê,125.00,111.11,111.11,111.11,102.78,97.22,122.22,94.44,140.00,71.43,80.00,182.86
Região Nordeste,230428 Eusébio,186.07,59.80,59.80,59.80,59.22,60.97,63.14,60.55,68.94,53.37,60.61,65.32
Região Nordeste,230430 Farias Brito,23.97,96.28,96.28,96.28,96.28,92.15,91.32,94.21,96.17,99.15,101.70,102.13
Região Nordeste,230435 Forquilha,24.77,84.89,84.89,84.89,85.20,79.15,83.08,77.04,93.66,87.92,96.68,99.40
Região Nordeste,230440 Fortaleza,28.98,78.94,78.91,78.96,79.09,82.75,85.51,81.82,78.17,63.89,71.49,79.15
Região Nordeste,230445 Fortim,8.20,47.54,47.54,47.54,61.20,66.12,69.95,68.31,54.44,23.89,49.44,51.67
Região Nordeste,230450 Frecheirinha,19.34,63.50,63.50,63.50,59.49,57.30,60.22,55.84,78.36,27.24,66.79,64.18
Região Nordeste,230460 General Sampaio,25.00,91.67,91.67,91.67,98.15,98.15,102.78,107.41,96.26,87.85,87.85,97.20
Região Nordeste,230465 Graça,13.33,55.00,55.00,55.00,57.78,48.33,57.78,51.11,46.02,44.89,40.34,31.25
Região Nordeste,230470 Granja,96.82,68.79,68.79,68.79,70.06,58.60,62.80,65.73,72.18,73.72,57.82,53.85
Região Nordeste,230480 Granjeiro,0.00,32.88,32.88,32.88,32.88,30.14,32.88,42.47,39.44,11.27,32.39,28.17
Região Nordeste,230490 Groaíras,3.42,54.79,54.79,54.79,46.58,43.84,36.30,37.67,37.06,31.47,46.15,48.95
Região Nordeste,230495 Guaiúba,23.62,78.64,78.64,78.64,71.84,61.17,67.64,79.94,68.51,41.23,51.30,32.79
Região Nordeste,230500 Guaraciaba do Norte,82.09,89.68,89.68,89.68,82.85,80.42,81.94,80.42,77.49,60.80,70.14,67.84
Região Nordeste,230510 Guaramiranga,9.21,103.95,103.95,103.95,107.89,97.37,97.37,82.89,98.68,61.84,89.47,85.53
Região Nordeste,230520 Hidrolândia,41.25,90.83,90.83,90.83,80.83,77.50,79.58,84.17,89.45,64.98,73.42,85.65
Região Nordeste,230523 Horizonte,59.17,73.46,73.46,73.46,72.40,73.54,75.13,70.19,70.35,32.68,68.83,69.99
Região Nordeste,230526 Ibaretama,5.49,59.89,59.89,59.89,56.04,44.51,57.69,62.09,56.91,28.73,37.57,38.67
Região Nordeste,230530 Ibiapina,89.56,94.78,94.78,94.78,89.56,84.07,84.60,84.07,96.34,84.29,166.49,93.19
Região Nordeste,230533 Ibicuitinga,87.02,97.71,97.71,97.71,98.47,84.73,87.02,89.31,109.16,99.24,99.24,100.00
Região Nordeste,230535 Icapuí,20.75,70.19,70.19,70.19,92.45,58.87,66.42,60.75,76.52,54.55,54.55,57.58
Região Nordeste,230540 Icó,83.89,66.59,66.59,66.59,65.14,64.54,70.55,64.18,80.29,38.33,66.99,69.53
Região Nordeste,230550 Iguatu,119.93,67.99,67.99,67.99,67.84,64.70,66.34,68.73,66.21,49.40,69.68,62.52
Região Nordeste,230560 Independência,0.33,90.03,89.70,89.70,83.06,76.41,80.40,81.73,86.49,60.14,78.38,56.42
Região Nordeste,230565 Ipaporanga,24.81,106.20,106.20,106.20,97.67,90.70,89.15,84.50,105.47,93.75,121.09,95.31
Região Nordeste,230570 Ipaumirim,53.45,64.66,64.66,64.66,57.76,61.21,61.21,54.31,76.52,50.43,57.39,60.00
Região Nordeste,230580 Ipu,22.25,64.02,64.02,64.02,61.85,62.86,65.75,69.08,72.34,46.87,61.14,60.99
Região Nordeste,230590 Ipueiras,1.72,57.55,57.36,57.55,63.10,61.95,62.52,64.63,67.37,42.28,66.99,52.70
Região Nordeste,230600 Iracema,11.76,90.59,90.59,90.59,72.94,70.59,74.71,77.06,82.14,43.45,70.24,70.24
Região Nordeste,230610 Irauçuba,43.84,99.18,99.18,99.18,108.49,102.19,113.42,110.14,105.57,97.49,118.11,110.58
Região Nordeste,230620 Itaiçaba,108.79,108.79,108.79,108.79,103.30,89.01,84.62,92.31,103.33,95.56,97.78,101.11
Região Nordeste,230625 Itaitinga,22.22,90.74,90.74,90.74,87.89,91.60,93.73,90.88,88.27,73.53,81.26,85.98
Região Nordeste,230630 Itapagé,13.51,84.07,84.07,84.37,78.91,82.55,81.03,84.67,92.07,66.16,79.57,84.91
