COD,CODMUN7,Estado,Municipio,BCG,Hepatite_B,Hib,DPT,poliomielite,Rotavírus,Pneumonia,Meningococo ,Triplice_viral,Tetraviral,Varicela,Hepatite_A
210945,2109452,MA,Raposa,88.91,65.48,65.48,65.48,70.29,34.52,92.47,84.94,70.00,38.37,26.98,26.74
210950,2109502,MA,RiachÆo,65.88,81.36,81.36,81.36,81.63,89.24,84.25,86.09,88.10,53.26,81.87,63.17
210955,2109551,MA,Ribamar Fiquene,18.66,103.73,103.73,103.73,103.73,124.63,100.75,99.25,95.83,56.94,99.31,97.22
210960,2109601,MA,Ros rio,62.93,104.42,104.10,104.10,98.90,64.20,96.21,91.01,92.46,57.78,49.92,52.65
210970,2109700,MA,Samba¡ba,101.52,115.15,115.15,115.15,110.61,86.36,113.64,110.61,95.45,15.15,45.45,78.79
210975,2109759,MA,Santa Filomena do MaranhÆo,149.09,209.09,209.09,209.09,212.73,152.73,243.64,221.82,150.82,62.30,121.31,118.03
210980,2109809,MA,Santa Helena,111.92,72.88,72.88,72.88,69.42,123.46,79.23,76.15,82.16,28.82,93.33,101.18
210990,2109908,MA,Santa Inˆs,114.75,70.57,70.57,70.57,84.00,76.70,96.77,84.73,72.09,32.99,60.84,53.91
211000,2110005,MA,Santa Luzia,143.51,85.81,85.81,85.81,92.30,34.95,116.96,98.01,82.74,32.70,12.67,15.99
211003,2110039,MA,Santa Luzia do Paru ,108.14,64.04,63.78,63.78,61.42,93.18,87.93,80.84,46.03,26.98,37.64,45.80
211010,2110104,MA,Santa Quit‚ria do MaranhÆo,142.52,69.86,69.86,69.86,76.40,40.65,91.59,83.64,63.64,28.93,23.14,23.55
211020,2110203,MA,Santa Rita,104.07,93.16,93.16,93.16,95.93,21.63,105.55,96.86,73.17,3.90,28.78,68.13
211023,2110237,MA,Santana do MaranhÆo,54.62,47.06,44.54,44.54,42.86,110.08,56.30,46.22,36.36,83.33,80.30,33.33
211027,2110278,MA,Santo Amaro do MaranhÆo,60.57,71.43,71.43,71.43,71.43,77.71,79.43,80.00,95.54,61.15,86.62,72.61
211030,2110302,MA,Santo Ant“nio dos Lopes,83.85,96.92,96.92,96.92,98.46,60.77,106.15,97.31,108.23,84.77,50.62,44.03
211040,2110401,MA,SÆo Benedito do Rio Preto,114.20,102.61,102.61,102.61,103.19,118.84,111.01,106.67,85.98,48.41,109.52,131.48
211050,2110500,MA,SÆo Bento,144.61,101.48,101.48,101.48,104.02,51.80,114.16,98.10,88.76,47.34,19.72,16.57
211060,2110609,MA,SÆo Bernardo,132.94,90.89,90.89,90.89,89.25,101.40,103.04,99.77,97.60,48.37,90.85,75.38
211065,2110658,MA,SÆo Domingos do AzeitÆo,108.53,95.35,95.35,95.35,103.10,102.33,116.28,103.88,106.06,0.76,107.58,86.36
211070,2110708,MA,SÆo Domingos do MaranhÆo,43.74,42.02,42.02,42.02,44.43,39.45,61.41,42.37,50.75,8.29,31.34,20.56
211080,2110807,MA,SÆo F‚lix de Balsas,76.92,94.87,94.87,94.87,94.87,130.77,84.62,74.36,91.67,02.08,133.33,116.67
211085,2110856,MA,SÆo Francisco do BrejÆo,23.03,80.92,80.92,80.92,82.24,69.74,91.45,78.95,127.54,63.77,2.17,65.22
211090,2110906,MA,SÆo Francisco do MaranhÆo,65.31,76.19,76.19,76.19,76.87,92.52,89.12,93.20,95.95,48.65,104.05,81.08
211100,2111003,MA,SÆo JoÆo Batista,91.39,36.33,35.96,35.96,37.83,77.53,53.18,47.19,48.13,31.72,50.75,48.88
211102,2111029,MA,SÆo JoÆo do Car£,172.37,121.05,121.05,121.05,145.61,99.56,169.74,145.61,131.34,61.29,58.53,67.74
211105,2111052,MA,SÆo JoÆo do Para¡so,54.66,98.76,98.76,98.76,98.76,88.20,99.38,102.48,121.25,61.88,78.13,65.63
211107,2111078,MA,SÆo JoÆo do Soter,78.23,92.86,92.86,92.86,98.30,76.53,105.44,109.86,127.24,76.70,63.80,56.99
211110,2111102,MA,SÆo JoÆo dos Patos,95.13,88.21,88.21,88.21,86.15,110.77,99.49,93.59,102.92,80.78,96.59,95.38
211120,2111201,MA,SÆo Jos‚ de Ribamar,89.81,101.92,101.86,101.86,101.92,71.42,101.21,86.06,102.31,35.25,66.35,77.16
211125,2111250,MA,SÆo Jos‚ dos Bas¡lios,158.06,139.78,139.78,139.78,136.56,78.49,139.78,132.26,166.67,77.78,88.89,79.01
211130,2111300,MA,SÆo Lu¡s,111.70,73.19,73.53,73.68,68.98,83.31,81.48,76.57,83.94,33.68,72.19,68.33
211140,2111409,MA,SÆo Lu¡s Gonzaga do MaranhÆo,80.07,55.81,55.81,55.81,61.46,81.40,70.43,62.46,54.41,47.42,48.33,51.98
211150,2111508,MA,SÆo Mateus do MaranhÆo,86.03,52.30,52.30,52.30,60.33,102.08,58.40,60.33,68.61,52.02,70.70,69.81
211153,2111532,MA,SÆo Pedro da µgua Branca,58.93,100.60,100.00,100.00,97.02,105.36,98.21,86.90,111.90,64.88,58.93,108.33
211157,2111573,MA,SÆo Pedro dos Crentes,154.55,88.64,88.64,88.64,93.18,131.82,122.73,100.00,126.76,80.28,69.01,69.01
211160,2111607,MA,SÆo Raimundo das Mangabeiras,31.75,101.78,101.78,101.78,103.86,103.86,108.31,98.52,95.77,79.15,114.66,84.36
211163,2111631,MA,SÆo Raimundo do Doca Bezerra,61.84,98.68,98.68,98.68,96.05,93.42,101.32,94.74,113.33,65.33,84.00,105.33
211167,2111672,MA,SÆo Roberto,142.11,80.70,80.70,80.70,78.95,175.44,100.00,82.46,59.30,39.53,95.35,87.21
211170,2111706,MA,SÆo Vicente Ferrer,94.05,64.68,64.68,64.68,63.10,85.71,102.78,87.70,77.85,50.95,25.32,38.61
211172,2111722,MA,Satubinha,74.78,89.57,88.70,88.70,94.78,87.83,91.30,96.52,117.43,60.55,73.39,64.22
211174,2111748,MA,Senador Alexandre Costa,109.60,81.36,81.36,81.36,80.23,43.50,95.48,82.49,94.05,37.84,9.73,26.49
211176,2111763,MA,Senador La Rocque,70.73,90.59,90.59,90.59,88.15,102.79,101.39,94.43,91.26,35.28,88.03,89.64
211178,2111789,MA,Serrano do MaranhÆo,38.57,44.29,44.29,44.29,47.14,46.43,65.71,53.57,61.40,16.96,15.20,19.88
211180,2111805,MA,S¡tio Novo,66.30,101.47,101.47,101.47,102.20,99.63,109.52,101.10,106.76,72.60,84.34,67.97
211190,2111904,MA,Sucupira do Norte,77.27,80.52,80.52,80.52,83.12,90.26,98.70,94.81,112.35,70.99,56.17,94.44
211195,2111953,MA,Sucupira do RiachÆo,73.24,91.55,91.55,91.55,108.45,112.68,92.96,104.23,103.57,63.10,100.00,96.43
211200,2112001,MA,Tasso Fragoso,63.24,116.91,116.18,116.18,119.12,94.12,111.76,111.03,119.33,49.33,57.33,63.33
211210,2112100,MA,Timbiras,101.42,74.90,74.49,74.49,78.95,86.64,93.52,86.23,60.70,30.26,62.78,46.61
211220,2112209,MA,Timon,86.42,71.80,71.76,71.76,69.70,66.27,76.47,73.40,82.41,42.60,42.60,53.78
211223,2112233,MA,Trizidela do Vale,66.13,83.07,82.75,82.75,85.62,94.57,91.05,81.79,74.79,46.46,56.66,54.67
211227,2112274,MA,Tufilƒndia,122.02,100.92,100.92,100.92,104.59,111.93,126.61,104.59,114.15,102.83,88.68,103.77
211230,2112308,MA,Tuntum,51.12,73.02,73.02,73.02,77.48,120.08,81.74,80.53,63.95,53.57,46.26,58.67
211240,2112407,MA,Turia‡u,98.59,35.31,35.31,35.31,37.29,29.38,56.07,46.33,45.68,13.12,27.93,22.07
211245,2112456,MA,Turilƒndia,106.10,72.97,72.97,72.97,68.02,100.87,88.37,79.36,64.21,12.44,42.13,64.72
211250,2112506,MA,Tut¢ia,149.17,97.79,97.79,97.79,99.34,89.97,106.28,100.55,93.82,42.13,51.50,48.12
211260,2112605,MA,Urbano Santos,150.56,58.78,58.78,58.78,59.74,88.08,71.01,57.81,59.44,37.17,42.18,39.82
211270,2112704,MA,Vargem Grande,141.51,73.84,73.84,73.84,55.12,61.86,82.67,75.58,72.15,10.86,39.47,32.79
211280,2112803,MA,Viana,84.58,85.56,85.36,85.36,84.18,55.21,83.89,78.68,105.33,70.00,34.19,33.81
211285,2112852,MA,Vila Nova dos Mart¡rios,44.10,99.38,99.38,99.38,96.27,169.57,106.21,100.62,104.24,129.09,136.36,116.97
211290,2112902,MA,Vit¢ria do Mearim,85.06,55.94,55.94,55.94,60.73,76.44,58.05,59.96,58.90,23.13,48.22,47.69
211300,2113009,MA,Vitorino Freire,140.13,45.12,44.90,44.90,54.01,60.74,61.39,58.13,56.89,21.55,11.07,39.22
211400,2114007,MA,Z‚ Doca,89.79,65.75,65.75,65.75,66.75,68.62,69.36,68.12,86.61,39.24,50.79,47.24
220005,2200053,PI,AcauÆ,80.00,87.06,87.06,87.06,87.06,81.18,82.35,95.29,104.88,76.83,81.71,59.76
220010,2200103,PI,Agricolƒndia,60.27,131.51,131.51,131.51,126.03,109.59,130.14,132.88,120.99,87.65,76.54,100.00
220020,2200202,PI,µgua Branca,94.24,109.35,109.35,109.35,100.36,96.04,99.64,100.36,100.00,82.94,82.25,79.18
220025,2200251,PI,Alagoinha do Piau¡,62.35,96.47,96.47,96.47,92.94,88.24,90.59,91.76,89.29,79.76,72.62,85.71
220027,2200277,PI,Alegrete do Piau¡,111.11,159.26,159.26,159.26,151.85,135.19,142.59,162.96,122.54,23.94,70.42,78.87
220030,2200301,PI,Alto Long ,12.70,102.38,102.38,102.38,88.89,92.06,97.62,96.03,85.27,41.86,69.77,72.09
220040,2200400,PI,Altos,25.66,98.01,98.18,98.01,89.57,91.56,102.15,88.58,99.68,75.08,83.92,72.83
220045,2200459,PI,Alvorada do Gurgu‚ia,10.00,85.00,85.00,85.00,77.50,91.25,96.25,98.75,119.05,80.95,79.76,80.95
220050,2200509,PI,Amarante,48.68,95.07,95.07,95.07,98.68,86.84,91.78,93.42,91.83,57.84,71.24,64.05
220060,2200608,PI,Angical do Piau¡,40.87,100.87,100.87,100.87,80.87,90.43,90.43,90.43,112.36,26.97,53.93,76.40
220070,2200707,PI,An¡sio de Abreu,34.51,92.96,92.96,92.96,87.32,95.77,99.30,95.07,103.50,102.10,100.70,87.41
220080,2200806,PI,Ant“nio Almeida,35.56,84.44,84.44,84.44,82.22,104.44,102.22,84.44,128.57,17.14,97.14,94.29
220090,2200905,PI,Aroazes,43.02,96.51,96.51,96.51,98.84,110.47,109.30,103.49,102.67,105.33,109.33,73.33
220095,2200954,PI,Aroeiras do Itaim,94.74,110.53,110.53,110.53,115.79,121.05,126.32,115.79,112.20,60.98,58.54,48.78
220100,2201002,PI,Arraial,104.35,123.91,123.91,123.91,113.04,117.39,121.74,123.91,107.55,69.81,107.55,88.68
220105,2201051,PI,Assun‡Æo do Piau¡,78.45,87.93,87.93,87.93,87.93,87.07,91.38,89.66,70.34,57.24,61.38,40.00
220110,2201101,PI,Avelino Lopes,37.65,57.65,57.65,57.65,46.47,59.41,61.18,62.35,60.90,55.77,54.49,46.15
220115,2201150,PI,Baixa Grande do Ribeiro,74.04,84.62,84.62,84.62,79.33,65.38,76.44,77.88,52.86,4.64,40.36,38.21
220117,2201176,PI,Barra D'Alcƒntara,17.24,120.69,122.41,120.69,124.14,125.86,134.48,118.97,136.36,86.36,97.73,77.27
220120,2201200,PI,Barras,24.21,74.28,74.15,74.15,70.31,77.02,79.75,74.56,68.58,28.29,59.19,42.37
220130,2201309,PI,Barreiras do Piau¡,14.29,80.00,80.00,80.00,68.57,74.29,82.86,77.14,72.73,66.67,30.30,51.52
220140,2201408,PI,Barro Duro,26.60,103.19,103.19,103.19,101.06,94.68,97.87,109.57,116.85,120.22,108.99,85.39
220150,2201507,PI,Batalha,42.19,93.70,93.97,93.70,93.15,98.90,100.55,94.25,104.27,99.20,93.33,81.60
220155,2201556,PI,Bela Vista do Piau¡,92.16,78.43,78.43,78.43,78.43,84.31,84.31,78.43,113.64,113.64,120.45,86.36
220157,2201572,PI,Bel‚m do Piau¡,75.00,119.44,119.44,119.44,119.44,119.44,122.22,111.11,100.00,71.43,88.57,88.57
220160,2201606,PI,Beneditinos,31.50,109.45,109.45,109.45,113.39,115.75,118.11,117.32,100.70,3.52,78.17,62.68
220170,2201705,PI,Bertol¡nia,17.33,110.67,110.67,110.67,102.67,101.33,105.33,112.00,107.50,102.50,112.50,86.25
220173,2201739,PI,Betƒnia do Piau¡,62.71,105.08,105.08,105.08,105.93,108.47,108.47,120.34,101.74,90.43,83.48,66.96
220177,2201770,PI,Boa Hora,28.05,109.76,109.76,109.76,106.10,110.98,114.63,117.07,115.63,82.29,39.58,75.00
220180,2201804,PI,Bocaina,13.04,113.04,113.04,113.04,126.09,108.70,119.57,102.17,105.71,57.14,57.14,60.00
220190,2201903,PI,Bom Jesus,27.05,88.73,88.73,88.73,79.92,92.21,96.11,92.42,99.37,73.07,85.80,67.22
220191,2201919,PI,Bom Princ¡pio do Piau¡,16.00,116.00,113.33,113.33,109.33,93.33,94.67,101.33,84.54,87.63,89.69,64.95
220192,2201929,PI,Bonfim do Piau¡,94.17,91.26,91.26,91.26,76.70,91.26,91.26,88.35,107.59,16.46,103.80,129.11
220194,2201945,PI,BoqueirÆo do Piau¡,40.00,129.41,129.41,129.41,117.65,118.82,116.47,121.18,106.78,100.85,98.31,77.97
220196,2201960,PI,Brasileira,70.00,103.00,103.00,103.00,96.00,100.00,99.00,111.00,95.54,85.71,89.29,82.14
220198,2201988,PI,Brejo do Piau¡,11.76,101.96,101.96,101.96,101.96,105.88,111.76,98.04,85.11,53.19,57.45,93.62
