UF;IDHM;IDHM Renda;IDHM Educacao;IDHM Longevidade
Distrito Federal;0.847;0.836;0.822;0.884
Sao Paulo;0.835;0.787;0.837;0.885
Santa Catarina;0.814;0.763;0.785;0.902
Parana;0.797;0.756;0.773;0.867
Rio de Janeiro;0.789;0.761;0.757;0.853
Rio Grande do Sul;0.789;0.772;0.722;0.88
Espirito Santo;0.779;0.727;0.732;0.887
Minas Gerais;0.776;0.725;0.739;0.871
Mato Grosso;0.769;0.725;0.766;0.82
Goias;0.764;0.724;0.754;0.818
Mato Grosso do Sul;0.758;0.741;0.698;0.842
Roraima;0.752;0.714;0.771;0.774
Tocantins;0.734;0.679;0.723;0.805
Amapa;0.733;0.682;0.709;0.815
Rio Grande do Norte;0.732;0.687;0.676;0.844
Pernambuco;0.724;0.677;0.69;0.813
Acre;0.723;0.66;0.704;0.815
Ceara;0.722;0.656;0.708;0.812
Rondonia;0.715;0.686;0.691;0.772
Amazonas;0.711;0.654;0.705;0.781
Bahia;0.705;0.662;0.656;0.807
Paraiba;0.704;0.663;0.657;0.802
Sergipe;0.697;0.683;0.625;0.793
Para;0.687;0.646;0.641;0.784
Piaui;0.685;0.655;0.642;0.766
Maranhao;0.68;0.615;0.673;0.759
Alagoas;0.68;0.637;0.635;0.776
