UF;IDHM;IDHM Renda;IDHM Educacao;IDHM Longevidade
Distrito Federal;0.842;0.842;0.797;0.888
Sao Paulo;0.831;0.781;0.826;0.889
Santa Catarina;0.817;0.772;0.778;0.907
Parana;0.797;0.759;0.764;0.872
Rio Grande do Sul;0.793;0.776;0.727;0.884
Rio de Janeiro;0.791;0.757;0.762;0.858
Minas Gerais;0.784;0.731;0.752;0.875
Espirito Santo;0.78;0.727;0.731;0.892
Mato Grosso;0.77;0.733;0.757;0.824
Goias;0.765;0.735;0.743;0.821
Mato Grosso do Sul;0.762;0.738;0.708;0.846
Roraima;0.746;0.697;0.764;0.779
Tocantins;0.74;0.687;0.729;0.809
Amapa;0.732;0.683;0.7;0.82
Ceara;0.73;0.666;0.715;0.816
Rio Grande do Norte;0.728;0.672;0.677;0.848
Amazonas;0.728;0.672;0.732;0.785
Pernambuco;0.722;0.671;0.684;0.819
Rondonia;0.721;0.693;0.699;0.775
Paraiba;0.717;0.682;0.671;0.807
Acre;0.712;0.655;0.671;0.82
Bahia;0.71;0.675;0.655;0.811
Sergipe;0.699;0.67;0.639;0.797
Para;0.694;0.647;0.657;0.787
Piaui;0.694;0.653;0.665;0.769
Maranhao;0.685;0.616;0.684;0.764
Alagoas;0.679;0.631;0.634;0.782
