UF;IDHM;IDHM Renda;IDHM Educacao;IDHM Longevidade
Distrito Federal;0.814;0.821;0.817;0.803
Sao Paulo;0.806;0.771;0.839;0.81
Santa Catarina;0.792;0.759;0.79;0.827
Minas Gerais;0.774;0.718;0.762;0.846
Rio Grande do Sul;0.771;0.767;0.75;0.797
Espirito Santo;0.771;0.715;0.742;0.864
Parana;0.769;0.744;0.78;0.785
Rio de Janeiro;0.762;0.759;0.758;0.769
Mato Grosso do Sul;0.742;0.733;0.741;0.751
Goias;0.737;0.714;0.778;0.721
Mato Grosso;0.736;0.72;0.758;0.73
Ceara;0.734;0.658;0.766;0.784
Tocantins;0.731;0.684;0.732;0.779
Rio Grande do Norte;0.728;0.692;0.68;0.819
Pernambuco;0.719;0.647;0.721;0.797
Acre;0.71;0.655;0.692;0.788
Sergipe;0.702;0.662;0.684;0.764
Rondonia;0.7;0.677;0.694;0.731
Amazonas;0.7;0.641;0.72;0.744
Roraima;0.699;0.68;0.673;0.745
Paraiba;0.698;0.653;0.669;0.779
Bahia;0.691;0.648;0.659;0.772
Para;0.69;0.645;0.686;0.744
Piaui;0.69;0.649;0.698;0.726
Amapa;0.688;0.648;0.647;0.778
Alagoas;0.684;0.63;0.679;0.748
Maranhao;0.676;0.603;0.716;0.715
