UF;IDHM;IDHM Renda;IDHM Educacao;IDHM Longevidade
Distrito Federal;0.845;0.836;0.808;0.892
Sao Paulo;0.837;0.791;0.829;0.894
Santa Catarina;0.819;0.772;0.78;0.912
Rio de Janeiro;0.805;0.774;0.781;0.863
Parana;0.805;0.766;0.777;0.877
Rio Grande do Sul;0.797;0.775;0.736;0.888
Espirito Santo;0.788;0.735;0.743;0.897
Minas Gerais;0.784;0.733;0.748;0.879
Mato Grosso;0.778;0.744;0.764;0.828
Goias;0.771;0.735;0.757;0.824
Mato Grosso do Sul;0.77;0.75;0.715;0.85
Roraima;0.76;0.723;0.774;0.784
Tocantins;0.749;0.698;0.741;0.814
Amapa;0.741;0.666;0.742;0.824
Rio Grande do Norte;0.739;0.686;0.69;0.851
Ceara;0.739;0.666;0.74;0.819
Pernambuco;0.735;0.669;0.719;0.826
Acre;0.733;0.676;0.706;0.825
Rondonia;0.73;0.71;0.705;0.778
Amazonas;0.718;0.655;0.717;0.789
Paraiba;0.711;0.672;0.658;0.812
Sergipe;0.71;0.676;0.66;0.801
Bahia;0.71;0.664;0.66;0.815
Para;0.707;0.667;0.671;0.79
Piaui;0.699;0.658;0.671;0.772
Alagoas;0.689;0.637;0.651;0.788
Maranhao;0.686;0.613;0.685;0.769
